stepAvg,stepLast,bucketSize,loss,grad,drop,mfu,tps,pnorm
0,0,1,11.801494598388672,1.1348031759262085,0.10431976345452396,4.483249023584555,526961.0916841651,4756.2431640625
8,15,15,11.791367276509602,1.1386994123458862,0.0026775028105034972,20.727785952795344,2436343.9676048886,4756.2470703125
23.5,31,16,11.729131162166595,1.1420628428459167,0.00232109905813228,21.298167658964296,2503386.6335327225,4756.248291015625
39.5,47,16,11.609211087226868,1.1921601295471191,0.0025753797081327348,21.240557642561352,2496615.1521860617,4756.2529296875
55.5,63,16,11.441516995429993,1.2822410464286804,0.002642271468754519,21.33547451324435,2507771.681196883,4756.2646484375
71.5,79,16,11.230396330356598,1.4072513580322266,0.0028324271199490986,21.280777869349254,2501342.637655738,4756.28662109375
87.5,95,16,10.987010896205902,1.4823926091194153,0.003673622857384158,21.33207885090134,2507372.555043986,4756.33544921875
103.5,111,16,10.729790270328522,1.518039584159851,0.0046681604298734755,21.288843102924766,2502290.6252128165,4756.447998046875
119.5,127,16,10.465435266494751,1.4512690305709839,0.00533040554728359,21.344696218388968,2508855.600422568,4756.568359375
135.5,143,16,10.198052406311035,1.3780729174613953,0.006019925416419001,21.315168016590302,2505384.855573589,4756.735595703125
151.5,159,16,9.933193862438202,1.3018217086791992,0.006922619625446246,21.33844098733585,2508120.3605625588,4756.97412109375
167.5,175,16,9.686177968978882,1.2139170169830322,0.008443362841551954,19.934191398933514,2343064.863486939,4757.227294921875
183.5,191,16,9.457064092159271,1.1144304275512695,0.010642720213526805,20.91624499843824,2458495.443890793,4757.6435546875
199.5,207,16,9.24203073978424,1.0436902046203613,0.01285169231282039,21.136982826706948,2484440.9682969893,4758.197265625
215.5,223,16,9.04193526506424,1.0072806775569916,0.01520118893434604,21.318165622014625,2505737.194116135,4758.942138671875
231.5,239,16,8.859411180019379,0.989715576171875,0.017878294121615138,21.155762603621266,2486648.34328158,4759.52783203125
247.5,255,16,8.689346730709076,0.9596464931964874,0.019924481956739768,21.320390751617406,2505998.7358503668,4760.381103515625
263.5,271,16,8.527113139629364,0.9443104863166809,0.022373377260836685,21.228460620301387,2495193.2681857077,4761.50537109375
279.5,287,16,8.376810014247894,0.9245818853378296,0.023972137242019402,21.274090218238335,2500556.571141995,4762.89794921875
295.5,303,16,8.221988797187805,0.9022530317306519,0.025199377256671363,21.149531958735942,2485915.9932797416,4764.4482421875
311.5,319,16,8.089285612106323,0.8904579281806946,0.025619522851863592,19.923811238339038,2341844.779407303,4765.71044921875
327.5,335,16,7.940764844417572,0.881883442401886,0.025771874359413756,21.26496106612909,2499483.5306001175,4767.148681640625
343.5,351,16,7.793894171714783,0.8636001348495483,0.02561530573505231,21.117934376596367,2482202.0134648224,4769.446533203125
359.5,367,16,7.646642714738846,0.8469375967979431,0.02491076964405224,21.31586754386522,2505467.0780097097,4771.6962890625
375.5,383,16,7.507248073816299,0.8532886505126953,0.024697038186290723,21.20352609140135,2492262.4636507216,4774.248046875
391.5,399,16,7.372007757425308,0.8620791435241699,0.02429470410358838,21.298051348441657,2503372.962393854,4776.38720703125
407.5,415,16,7.240403652191162,0.867082417011261,0.02404924119103023,21.233046068958046,2495732.2418222963,4778.52392578125
423.5,431,16,7.1068722903728485,0.8713935911655426,0.02365846664884664,20.758928651791187,2440004.480454946,4781.31396484375
439.5,447,16,6.972043454647064,0.9639358520507812,0.023409892303982015,19.957303105298948,2345781.413460617,4783.3291015625
455.5,463,16,6.83078533411026,1.0185409784317017,0.023530864897607404,21.176352609897187,2489068.492625921,4785.451171875
471.5,479,16,6.698034167289734,1.0491670370101929,0.023906852827746083,21.22165967409483,2494393.8849663856,4787.29931640625
487.5,495,16,6.5675656497478485,1.1098347306251526,0.023520634336763935,21.245115176765506,2497150.844757894,4788.546875
503.5,511,16,6.433491110801697,1.134385347366333,0.024479549374628925,21.248958120871958,2497602.544409411,4789.724853515625
519.5,527,16,6.313773304224014,1.1683520078659058,0.02424768584596953,21.220402538864626,2494246.121291021,4790.26416015625
535.5,543,16,6.1748948097229,1.2571982741355896,0.02485364045820792,21.192351510043153,2490949.0033542593,4790.508544921875
551.5,559,16,6.044258534908295,1.085088849067688,0.024435987840688816,21.349122688960165,2509375.88777494,4790.46337890625
567.5,575,16,5.922425299882889,1.1070841550827026,0.02467084230121338,20.967291891674844,2464495.4957383564,4790.141845703125
583.5,591,16,5.798081070184708,1.0847182273864746,0.024155277533061577,21.114272468879843,2481771.5928306356,4789.475341796875
599.5,607,16,5.674297899007797,1.1438193321228027,0.024528663026902712,21.270044106807045,2500080.9912030506,4788.728515625
615.5,623,16,5.562412351369858,1.0165086388587952,0.023962010819972915,20.102830785398368,2362886.737026637,4787.914794921875
631.5,639,16,5.452080279588699,1.0773794651031494,0.024354468046856877,21.07856620154281,2477574.6781562762,4786.89404296875
647.5,655,16,5.339508473873138,1.0323804020881653,0.024371051374173752,21.34490061476463,2508879.625172629,4786.6552734375
663.5,671,16,5.21960836648941,1.0280804634094238,0.023740295782882833,21.207317155812326,2492708.065362815,4785.187255859375
679.5,687,16,5.101778715848923,1.0550204515457153,0.02441741720505172,21.34556787145363,2508958.0545240706,4784.0498046875
695.5,703,16,5.001791179180145,1.0491287112236023,0.024835813758810135,21.280283973549274,2501284.585143249,4782.82763671875
711.5,719,16,4.894122362136841,0.9175689220428467,0.023427482930745817,21.321564137959403,2506136.655681385,4781.79541015625
727.5,735,16,4.7818489372730255,1.0533968210220337,0.023550791962241583,21.231904595760074,2495598.073062237,4780.747314453125
743.5,751,16,4.674777239561081,0.971229076385498,0.023537876299638865,21.260826885880114,2498997.5990523137,4779.87841796875
759.5,767,16,4.5743774473667145,1.035487413406372,0.023408178730416253,21.2338743315654,2495829.5958094327,4778.9697265625
775.5,783,16,4.465996861457825,0.967631608247757,0.02272591474959909,21.344205668552632,2508797.941194646,4778.148193359375
791.5,799,16,4.373768180608749,0.9635992646217346,0.023425624088497098,19.97769781886049,2348178.608099247,4777.52294921875
807.5,815,16,4.269902437925339,0.8768011927604675,0.022469526904663355,21.26427684334062,2499403.1070533386,4776.689453125
823.5,831,16,4.154882609844208,1.0410634875297546,0.022488444517931028,20.99124943440504,2467311.465318623,4775.8759765625
839.5,847,16,4.035524860024452,0.9353798627853394,0.02251832757963601,21.163547673659053,2487563.4004163435,4775.28271484375
855.5,863,16,3.930170953273773,0.961142510175705,0.02284801908006722,21.279307791535793,2501169.8447090676,4774.693603515625
871.5,879,16,3.8270141035318375,1.0143027305603027,0.022023033333067415,21.229829730067042,2495354.193348006,4774.16455078125
887.5,895,16,3.7238010466098785,1.0098040699958801,0.024145264090321056,21.247706938549868,2497455.480438867,4773.701171875
903.5,911,16,3.6310208588838577,0.9524477422237396,0.0232449628687887,21.125297021570823,2483067.4187575043,4773.16015625
